id;prenom;nom;genre;age;vivant;fiction;celebre;pays_origine;Pays_residence;domaine_metier;metier;passe_metier;proche;enfants;groupe;ecran;religion;
532;Paul;Mc-Cartney;M;60-80;1;0;1;UK;P;Musique;Chanteur;Chanteur Rock;0;1940;Europeen;;0;
533;Paul;Newman;M;80-120;0;0;1;USA;P;Cinema;Acteur;Acteur de film;0;1920;Americain du nord;La couleur de l'argent;0;
534;Pete;Wentz;M;20-40;1;0;1;USA;P;Musique;Guitariste;Guitariste bassiste;0;1970;Americain du nord;;0;
535;Pink;Pink;F;20-40;1;0;1;USA;P;Musique;Chanteuse;Chanteuse Pop;0;1970;Americain du nord;;0;
536;Puff;Daddy;M;40-60;1;0;1;USA;P;Musique;Chanteur;Chanteur Rap;0;1960;Americain du nord;;0;
537;Quentin;Tarantino;M;40-60;1;0;1;USA;Q;Cinema;Realisateur;Realisateur;0;1960;Americain du nord;Kill bill;0;
538;Renaud;Séchan;M;60-80;1;0;1;France;R;Musique;Chanteur;Chanteur Variete;0;1950;Europeen;;0;
539;Ricky;Martin;M;40-60;1;0;1;Espagne;R;Musique;Chanteur;Chanteur Pop;0;1970;Europeen;;0;
540;Rihanna;Fenty;F;20-40;1;0;1;USA;R;Musique;Chanteuse;Chanteuse Rnb;0;1980;Americain du nord;;0;
541;Ringo;Starr;M;60-80;1;0;1;UK;R;Musique;Batteur;Batteur Rock;0;1940;Europeen;;0;
542;Robert;Pattinson;M;20-40;1;0;1;USA;R;Cinema;Acteur;Acteur de film;0;1980;Americain du nord;Twilight;0;
543;Robert;Smith;M;40-60;1;0;1;UK;R;Musique;Guitariste;Guitariste;0;1950;Europeen;;0;
544;Roch;Voisine;M;40-60;1;0;1;Canada;R;Musique;Chanteur;Chanteur Pop;0;1960;Americain du nord;;0;
545;Ronaldinho;Ronaldinho;M;20-40;1;0;1;Bresil;R;Sport;footballeur;footballeur national;0;1980;Americain du sud;;0;
546;Rowan;Atkinson;M;40-60;1;0;1;UK;R;Cinema;Acteur ;Acteur de film;0;1950;Europeen;Mr Bean;0;
547;Salvador;Dali;M;80-120;0;0;1;Espagne;S;Art;Peintre;Peintre Cubisme;0;1900;Europeen;;0;
548;Samantha;Fox;F;40-60;1;0;1;UK;S;Musique;Chanteuse;Chanteuse Pop;0;1960;Europeen;;0;
549;Sarah;Brightman;F;40-60;1;0;1;UK;S;Musique;Chanteuse;Chanteuse Pop;0;1960;Europeen;;0;
550;Sarah;Vaughan;M;60-80;0;0;1;USA;S;Musique;Chanteuse;Chanteuse Jazz;0;1920;Americain du nord;;0;
551;Scarlett;johannson;F;20-40;1;0;1;USA;S;Cinema;Actrice;Actrice de film;0;1980;Americain du nord;Match point;0;
552;Sean;Connery;M;80-120;1;0;1;UK;S;Cinema;Acteur;Acteur de film;0;1930;Europeen;James Bond;0;
553;Sean;Paul;M;40-60;1;0;1;Jamaique;S;Musique;Chanteur;Chanteur Rnb;0;1970;D'Amerique centrale;;0;
554;Sean;Penn;M;40-60;1;0;1;USA;S;Cinema;Acteur;Acteur de film;0;1960;Americain du nord;Mystic River;0;
555;Selena;Gomez;F;20-40;1;0;1;USA;S;Musique;Chanteuse;Chanteuse Pop;0;1990;Americain du nord;;0;
556;Serge;Gainsbourg;M;60-80;0;0;1;France;S;Musique;Chanteur;Chanteur Variete;0;1920;Europeen;;0;
557;Serj;Tankian;M;40-60;1;0;1;USA;S;Musique;Pianiste;Pianiste Rock;0;1960;Americain du nord;;0;
558;Shakira;Shakira;F;20-40;1;0;1;Colombie;S;Musique;Chanteuse;Chanteuse Pop;0;1970;Americain du sud;;0;
559;Shania;Twain;F;40-60;1;0;1;Canada;S;Musique;Chanteuse;Chanteuse Country;0;1960;Americain du nord;;0;
560;Sharon;Stone;F;40-60;1;0;1;USA;S;Cinema;Actrice;Actrice de film;0;1950;Americain du nord;Basic Instincts;0;
561;Sheila;Sheila;F;60-80;1;0;1;France;S;Musique;Chanteuse;Chanteuse Variete;0;1940;Europeen;;0;
562;Sheryl;Crow;F;40-60;1;0;1;USA;S;Musique;Chanteuse;Chanteuse Rock;0;1960;Americain du nord;;0;
563;Shirley;Bassey;F;60-80;1;0;1;UK;S;Musique;Chanteuse;Chanteuse Variete;0;1930;Europeen;;0;
564;Shirley;Manson;F;40-60;1;0;1;UK;S;Musique;Chanteuse;Chanteuse Rock;0;1960;Europeen;;0;
565;Sid;Vicious;M;20-40;0;0;1;UK;S;Musique;Guitariste;Guitariste bassiste;0;1960;Europeen;;0;
566;Simone;Simons;F;20-40;1;0;1;Hollande;S;Musique;Chanteuse;Chanteuse Metal;0;1980;Europeen;;0;
567;Slash;Slash;M;40-60;1;0;1;UK;S;Musique;Guitariste;Guitariste Hard Rock;0;1960;Europeen;;0;
568;Snoop;Dog;M;40-60;1;0;1;USA;S;Musique;Chanteur;Chanteur Rap;0;1970;Americain du nord;;0;
569;Sophia;Loren;F;60-80;1;0;1;Italie;S;Cinema;Actrice;Actrice de film;0;1930;Europeen;Hier; aujourd'hui et demain ;0
570;Sophie;Ellis-Bextor;F;20-40;1;0;1;UK;S;Musique;Chanteuse;Chanteuse Pop;0;1970;Europeen;;0;
571;Sophie;Marceau;F;40-60;1;0;1;France;S;Cinema;Actrice;Actrice de film;0;1960;Europeen;La boum;0;
572;Stan;Laurel;M;60-80;0;0;1;UK;S;Cinema;Acteur;Acteur dans une serie;0;1890;Europeen;Laurel et Hardi;0;
