id;prenom;nom;genre;age;vivant;fiction;celebre;pays_origine;Pays_residence;domaine_metier;metier;passe_metier;proche;enfants;groupe;ecran;religion;
210;David;Boreanaz;M;40-60;1;0;1;USA;D;Cinema;Acteur;Acteur dans une serie;0;1960;Americain du nord;Bones;0;
211;David;Bowie;M;60-80;1;0;1;UK;D;Musique;Chanteur;Chanteur Rock;0;1940;Europeen;;0;
212;David;Caruso;M;40-60;1;0;1;USA;D;Cinema;Acteur;Acteur dans une serie;0;1950;Americain du nord;Les experts Miami;0;
213;David;Charvet;M;40-60;1;0;1;France;D;Cinema;Acteur;Acteur dans une serie;0;1970;Europeen;Alerte à Malibu;0;
214;David;Duchovny;M;40-60;1;0;1;USA;D;Cinema;Acteur;Acteur dans une serie;0;1960;Americain du nord;Californication;0;
215;David;Ghetta;M;40-60;1;0;1;France;D;Musique;DJ;DJ electro;0;1960;Europeen;;0;
216;David;Hallyday;M;40-60;1;0;1;France;D;Musique;Chanteur;Chanteur Rock;0;1960;Europeen;;0;
217;David;McCallum;M;80-120;1;0;1;UK;D;Cinema;Acteur;Acteur dans une serie;0;1930;Europeen;NCIS enquetes speciales;0;
218;David;Schwimmer;M;40-60;1;0;1;USA;D;Cinema;Acteur;Acteur dans une serie;0;1960;Americain du nord;Friends;0;
219;David;Tennant;M;40-60;1;0;1;UK;D;Cinema;Acteur;Acteur de film;0;1970;Europeen;Harry Potter;0;
220;Dean;Martin;M;60-80;0;0;1;USA;D;Cinema;Acteur;Acteur de film;0;1910;Americain du nord;Embrasse moi idiot;0;
221;Debbie;Harry;F;60-80;1;0;1;USA;D;Musique;Chanteuse;Chanteuse Rock;0;1940;Americain du nord;;0;
222;Demi;Lovato;F;20-40;1;0;1;USA;D;Musique;Chanteuse;Chanteuse Rnb;0;1990;Americain du nord;;0;
223;Demi;Moore;F;40-60;1;0;1;USA;D;Cinema;Actrice;Actrice de film;0;1960;Americain du nord;Bobby;0;
224;Denise;Richards;F;40-60;1;0;1;USA;D;Cinema;Actrice;Actrice de film;0;1970;Americain du nord;Starship troopers;0;
225;Denzel;Washington;M;40-60;1;0;1;USA;D;Cinema;Acteur;Acteur de film;0;1950;Americain du nord;Training Day;0;
226;Devon;Aoki;F;20-40;1;0;1;USA;D;Cinema;Actrice;Actrice de film;0;1980;Americain du nord;Sin city;0;
227;Diams;Diams;F;20-40;1;0;1;France;D;Musique;Chanteuse;Chanteuse Rap;0;1980;Europeen;;0;
228;Diana;Krall;F;40-60;1;0;1;Canada;D;Musique;Chanteuse;Chanteuse Jazz;0;1960;Americain du nord;;0;
229;Diana;Ross;F;60-80;1;0;1;USA;D;Musique;Chanteuse;Chanteuse Soul;0;1940;Americain du nord;;0;
230;Diane;Kruger;F;20-40;1;0;1;Allemagne;D;Cinema;Actrice;Actrice de film;0;1970;Americain du nord;Inglorious basterds;0;
231;Dido;Dido;F;40-60;1;0;1;UK;D;Musique;Chanteuse;Chanteuse Pop;0;1970;Europeen;;0;
232;Dita;Von-Teese;F;40-60;1;0;1;USA;D;Spectacle;Danseuse ;streap teaseuse;0;1970;Americain du nord;;0;
233;Dolly;Haas;M;80-120;1;0;1;Allemagne;D;Cinema;Actrice;Actrice de film;0;1910;Europeen;La loi du silence;0;
234;Dolph;Lundgren;M;40-60;1;0;1;Suede;D;Cinema;Acteur;Acteur de film;0;1950;Europeen;Expandables;0;
235;Dominic;Monaghan;M;20-40;1;0;1;UK;D;Cinema;Acteur;Acteur dans une serie;0;1970;Europeen;Lost;0;
236;Dominic;Purcell;M;40-60;1;0;1;UK;D;Cinema;Acteur;Acteur dans une serie;0;1970;Europeen;Prison break;0;
237;Donna;Summer;M;60-80;0;0;1;USA;D;Musique;Chanteuse;Chanteuse Pop;0;1940;Americain du nord;;0;
238;Doris;Day;F;80-120;1;0;1;USA;D;Cinema;Actrice;Actrice de film;0;1920;Americain du nord;Confidences sur l'oreiller;0;
239;Doutzen;Kroes;F;20-40;1;0;1;Hollande;D;Mode;Mannequin;Egerie de Victoria's Secret;0;1980;Europeen;;0;
240;Dr;Dre;M;40-60;1;0;1;USA;D;Musique;Chanteur;Chanteur Rap;0;1960;Americain du nord;;0;
241;Drew;Barrymore;F;20-40;1;0;1;USA;D;Cinema;Actrice;Actrice de film;0;1970;Americain du nord;Charlie et ses droles de dames;0;
242;Duffy;Duffy;F;20-40;1;0;1;UK;D;Musique;Chanteuse;Chanteuse Soul;0;1980;Europeen;;0;
243;Dustin;Hoffmann;M;60-80;1;0;1;USA;D;Cinema;Acteur;Acteur de film;0;1930;Americain du nord;Little big man;0;
244;Dwayne;Johnson;M;40-60;1;0;1;USA;D;Sport  ;Catcheur;Catcheur;0;1970;Americain du nord;;0;
245;Eddie;Murphy;M;40-60;1;0;1;USA;E;Cinema;Acteur;Acteur de film;0;1970;Americain du nord;Le flic de beverly hills;0;
246;Eddy;Mitchell;M;60-80;1;0;1;France;E;Musique;Chanteur;Chanteur Rock;0;1940;Europeen;;0;
247;Edgar-Allan;Poe;M;20-40;0;0;1;USA;E;Litterature;Ecrivain;Ecrivain Romantique;0;1800;Americain du nord;;0;
248;Edith;Piaf;F;40-60;0;0;1;France;E;Musique;Chanteuse;Chanteuse Variete;0;1910;Europeen;;0;
249;Edward;Norton;M;40-60;1;0;1;USA;E;Cinema;Acteur;Acteur de film;0;1960;Americain du nord;Fight club;0;
250;Edward;Speleers;M;20-40;1;0;1;UK;E;Cinema;Acteur;Acteur de film;0;1980;Europeen;Eragon;0;
251;Eicca;Toppinen;M;20-40;1;0;1;Finlande;E;Musique;Violoncelliste;Violoncelliste Metal;0;1970;Europeen;;0;
252;Elijah;Wood;M;20-40;1;0;1;USA;E;Cinema;Acteur;Acteur de film;0;1980;Americain du nord;Le seigneur des anneaux;0;
253;Elisha;cuthbert;F;20-40;1;0;1;Canada;E;Cinema;Actrice;Actrice de film;0;1980;Americain du nord;The girl next door;0;
254;Eliza;Dushku;F;20-40;1;0;1;USA;E;Cinema;Actrice;Actrice dans une serie;0;1980;Americain du nord;Buffie contre les vampires;0;
255;Elizabeth;Hurley;F;40-60;1;0;1;UK;E;Cinema;Actrice;Actrice de film;0;1960;Europeen;Austin power;0;
256;Elizabeth;II;F;80-120;1;0;1;UK;E;Politique;Reine;Reine d'Angleterre;0;1920;Europeen;;0;
257;liz;Taylor;M;60-80;0;0;1;USA;L;Cinema;Actrice;Actrice de film;0;1930;Americain du nord;Le pere de la marriee;0;
258;Ella;Fitzgerald;M;60-80;0;0;1;USA;E;Musique;Chanteuse;Chanteuse Jazz;0;1910;Americain du nord;;0;
259;Elle;Macpherson;F;40-60;1;0;1;Australie;E;Mode;Mannequin;Egerie de Elle;0;1960;D'Oceanie;;0;
260;Ellen;DeGeneres;F;40-60;1;0;1;USA;E;Cinema;Actrice;Actrice de television;0;1950;Americain du nord;Sitcom Ellen;0;
261;Ellen;Page;F;20-40;1;0;1;Canada;E;Cinema;Actrice;Actrice de film;0;1980;Americain du nord;Juno;0;
262;Elton;John;M;60-80;1;0;1;UK;E;Musique;Chanteur;Chanteur Rock;0;1940;Europeen;;0;
263;Elvis;Presley;M;40-60;0;0;1;USA;E;Musique;Chanteur;Chanteur Rock;0;1930;Americain du nord;;0;
264;Emilie;Autumn;F;20-40;1;0;1;USA;E;Musique;Violoniste;Violoniste classique;0;1970;Americain du nord;;0;
265;Emilie;De Ravin;F;20-40;1;0;1;Australie;E;Cinema;Actrice;Actrice dans une serie;0;1980;D'Oceanie;Lost;0;
266;Emily;Deschanel;F;20-40;1;0;1;USA;E;Cinema;Actrice;Actrice dans une serie;0;1970;Americain du nord;Bones;0;
267;Eminem;Eminem;M;40-60;1;0;1;USA;E;Musique;Chanteur;Chanteur Rap;0;1970;Americain du nord;;0;
268;Emma;Bunton;F;20-40;1;0;1;UK;E;Musique;Chanteuse;Chanteuse Pop;0;1970;Europeen;;0;
269;Emma;Watson;F;20-40;1;0;1;UK;E;Cinema;Actrice;Actrice de film;0;1990;Europeen;Harry Potter;0;
270;Emmanuelle;Beart;F;40-60;1;0;1;France;E;Cinema;Actrice;Actrice de film;0;1960;Europeen;8 femmes;0;
271;Emmy;Rossum;F;20-40;1;0;1;USA;E;Cinema;Actrice;Acteur dans une serie;0;1980;Americain du nord;Shameless;0;
272;Enrique;Iglesias;M;20-40;1;0;1;Espagne;E;Musique;Chanteur;Chanteur Pop;0;1970;Europeen;;0;
273;Eric;Bana;M;40-60;1;0;1;Australie;E;Cinema;Acteur;Acteur de film;0;1960;D'Oceanie;La chute du faucon noir;0;
274;Eric;Benet;M;40-60;1;0;1;USA;E;Musique;Chanteur;Chanteur Rnb;0;1960;Americain du nord;;0;
275;Eric;Clapton;M;60-80;1;0;1;UK;E;Musique;Guitariste;Guitariste Rock;0;1940;Europeen;;0;
276;Erica;Durance;F;20-40;1;0;1;Canada;E;Cinema;Actrice;Actrice dans une serie;0;1970;Americain du nord;Smallville;0;
277;Eros;Ramazzotti;M;40-60;1;0;1;Italie;E;Musique;Chanteur;Chanteur Rock;0;1960;Europeen;;0;
278;Errol;Flynn;M;40-60;0;0;1;USA;E;Cinema;Acteur;Acteur de film;0;1900;Americain du nord;Les avantures de robin des bois;0;
279;Erykah;Badu;F;40-60;1;0;1;USA;E;Musique;Chanteuse;Chanteuse Rnb;0;1970;Americain du nord;;0;
280;Etienne;Daho;M;40-60;1;0;1;France;E;Musique;Chanteur;Chanteur Pop;0;1950;Europeen;;0;
281;Eva;Green;F;20-40;1;0;1;France;E;Cinema;Actrice;Actrice de film;0;1980;Europeen;Casino Royal;0;
282;Eva;Herzigova;F;40-60;1;0;1;Tcheque;E;Mode;Mannequin;Egerie de Playboy;0;1970;Europeen;;0;
283;Eva;Longoria;F;20-40;1;0;1;USA;E;Cinema;Actrice;Actrice dans une serie;0;1970;Americain du nord;Desperate Housewives;0;
284;Eva;Mendes;F;20-40;1;0;1;USA;E;Cinema;Actrice;Actrice de film;0;1970;Americain du nord;Very bad cops;0;
285;Evan-rachel;Wood;F;20-40;1;0;1;USA;E;Cinema;Actrice;Actrice de film;0;1980;Americain du nord;Whatever works;0;
286;Evangeline;Lilly;F;20-40;1;0;1;Canada;E;Cinema;Actrice;Actrice dans une serie;0;1970;Americain du nord;Lost;0;
287;Ewan;McGregor;M;40-60;1;0;1;UK;E;Cinema;Acteur;Acteur de film;0;1970;Europeen;Star wars;0;
288;Farrah;Fawcett;M;60-80;0;0;1;USA;F;Cinema;Actrice;Actrice dans une serie;0;1940;Americain du nord;Drole de dames;0;
289;Felicity;Huffman;F;40-60;1;0;1;USA;F;Cinema;Actrice;Actrice dans une serie;0;1960;Americain du nord;Desperate Housewives;0;
290;Stacy;Ferguson;F;20-40;1;0;1;USA;S;Musique;Chanteuse;Chanteuse Rnb;0;1970;Americain du nord;;0;
291;Fernandel;Fernandel;M;60-80;0;0;1;France;F;Cinema;Acteur;Acteur de film;0;1900;Europeen;Don Camillo;0;
292;Fernando;Torres;M;20-40;1;0;1;Espagne;F;Sport;footballeur;footballeur national;0;1980;Europeen;;0;
293;Fiona;Apple;F;20-40;1;0;1;USA;F;Musique;Chanteuse;Chanteuse Pop;0;1970;Americain du nord;;0;
294;Florent;Pagny;M;40-60;1;0;1;France;F;Musique;Chanteur;Chanteur Variete;0;1960;Europeen;;0;
295;Foxy;Brown;F;20-40;1;0;1;USA;F;Musique;Chanteuse;Chanteuse Rap;0;1970;Americain du nord;;0;
296;France;Gall;F;60-80;1;0;1;France;F;Musique;Chanteuse;Chanteuse Variete;0;1940;Europeen;;0;
297;Francis;Cabrel;M;60-80;1;0;1;France;F;Musique;Chanteur;Chanteuse Variete;0;1950;Europeen;;0;
298;Franck;Dubosc;M;40-60;1;0;1;France;F;Spectacle;humoriste;Humoriste ;0;1960;Europeen;;0;
299;Francois;Hollande;M;40-60;1;0;1;Hollande;F;Politique;homme politique;President PS;0;1950;Europeen;;0;
300;Francoise;Hardy;F;60-80;1;0;1;France;F;Musique;Chanteuse;Chanteuse Variete;0;1940;Europeen;;0;
301;Frank;Sinatra;M;80-120;0;0;1;USA;F;Musique;Chanteur;Chanteur Jazz;0;1910;Americain du nord;;0;
302;Frank;Zappa;M;40-60;0;0;1;USA;F;Musique;Guitariste;Guitariste Rock;0;1940;Americain du nord;;0;
303;Freddie;Mercury;F;40-60;0;0;1;UK;F;Musique;Chanteur;Chanteur Rock;0;1940;Europeen;;0;
304;Frida;Kahlo;M;40-60;0;0;1;Mexique;F;Art;Peintre;Peintre surréalisme;0;1900;D'Amerique centrale;;0;
305;Gad;Elmaleh;M;40-60;1;0;1;Maroc;G;Spectacle;humoriste;Humoriste ;0;1970;Africain;;0;
306;Gael-garcia;Bernal;M;20-40;1;0;1;Mexique;G;Cinema;Acteur;Acteur de film;0;1970;D'Amerique centrale;Babel;0;
307;Gale;Harold;M;40-60;1;0;1;USA;G;Cinema;Acteur;Acteur dans une serie;0;1960;Americain du nord;Queer of folk;0;
308;Garou;Garou;M;40-60;1;0;1;Canada;G;Musique;Chanteur;Chanteur Variete;0;1970;Americain du nord;;0;
309;Gary;Cooper;M;40-60;0;0;1;USA;G;Cinema;Acteur;Acteur de film;0;1900;Americain du nord;Le train sifflera trois fois;0;
310;Gary;Oldman;M;40-60;1;0;1;UK;G;Cinema;Acteur;Acteur de film;0;1950;Europeen;Batman;0;
311;Gaspard;Ulliel;M;20-40;1;0;1;France;G;Cinema;Acteur;Acteur de film;0;1980;Europeen;Un long dimanche de fiancaille;0;
312;Gemma;Ward;F;20-40;1;0;1;Australie;G;Mode;Mannequin;Egerie de Calvin Klein;0;1980;D'Oceanie;;0;
313;Gene;Simmons;M;60-80;1;0;1;USA;G;Musique;Guitariste;Guitariste Hard Rock;0;1940;Americain du nord;;0;
314;Geoffrey;Rush;M;60-80;1;0;1;Australie;G;Cinema;Acteur;Acteur de film;0;1950;D'Oceanie;Le discour d'un roi;0;
315;George;Clooney;M;40-60;1;0;1;USA;G;Cinema;Acteur;Acteur de film;0;1960;Americain du nord;Ocean's;0;
316;George;Harrison;M;40-60;0;0;1;UK;G;Musique;Chanteur;Chanteur Rock;0;1940;Europeen;;0;
317;George;Michael;M;40-60;1;0;1;UK;G;Musique;Chanteur;Chanteur Pop;0;1960;Europeen;;0;
318;Georges;Brassens;M;40-60;0;0;1;France;G;Musique;Chanteur;Chanteur Variete;0;1920;Europeen;;0;
319;Gerard;Butler;M;40-60;1;0;1;UK;G;Cinema;Acteur;Acteur de film;0;1960;Europeen;PS I love you;0;
320;Gerard;Depardieu;M;60-80;1;0;1;France;G;Cinema;Acteur;Acteur de film;0;1940;Europeen;Cirano de bergerac;0;
321;Gerard;Jugnot;M;60-80;1;0;1;France;G;Cinema;Acteur;Acteur de film;0;1950;Europeen;Les choristes;0;
322;Gerard;Way;M;20-40;1;0;1;USA;G;Musique;Chanteur;Chanteur Rock;0;1970;Americain du nord;;0;
323;Geri;Halliwell;F;40-60;1;0;1;UK;G;Musique;Chanteuse;Chanteuse Pop;0;1970;Europeen;;0;
324;Gillian;Anderson;F;40-60;1;0;1;USA;G;Cinema;Actrice;Actrice dans une serie;0;1960;Americain du nord;X files;0;
325;Gina;Lollobrigida;F;80-120;1;0;1;Italie;G;Cinema;Actrice;Actrice de film;0;1920;Europeen;Notre dame de paris;0;
326;Giselle;Bundchen;F;20-40;1;0;1;Bresil;G;Mode;Mannequin;Egerie de Victoria's Secret;0;1980;Americain du sud;;0;
327;Gong;Li;F;40-60;1;0;1;Chine;G;Cinema;Actrice;Actrice de film;0;1960;D'Asie;Memoire d'une geisha;0;
328;Grace;Kelly;M;40-60;0;0;1;USA;G;Cinema;Actrice;Actrice de film;0;1920;Americain du nord;Une fille de la province;0;
329;Gregory;Isaacs;M;60-80;1;0;1;Jamaique;G;Musique;Chanteur;Chanteur Reggae;0;1950;D'Amerique centrale;;0;
330;Gregory;Lemarchal;M;20-40;0;0;1;France;G;Musique;Chanteur;Chanteur Variete;0;1980;Europeen;;0;
331;Gregory;Peck;M;80-120;0;0;1;USA;G;Cinema;Acteur;Acteur de film;0;1910;Americain du nord;Duel au soleil;0;
332;Greta;Garbo;M;80-120;0;0;1;Suede;G;Cinema;Actrice;Actrice de film;0;1900;Europeen;La chair et lediable;0;
333;Gwen;Stefani;F;40-60;1;0;1;USA;G;Musique;Chanteuse;Chanteuse Rock;0;1960;Americain du nord;;0;
334;Gwyneth;Paltrow;F;40-60;1;0;1;USA;G;Cinema;Actrice;Actrice de film;0;1970;Americain du nord;Shakepear in love;0;
335;Haifa;Wehbe;F;20-40;1;0;1;Liban;H;Musique;Chanteuse;Chanteuse Variete;0;1970;Du moyen Orient;;0;
336;Haley-joel;Osment;M;20-40;1;0;1;USA;H;Cinema;Acteur;Acteur de film;0;1980;Americain du nord;Le 6eme sens;0;
337;Halle;Berry;F;40-60;1;0;1;USA;H;Cinema;Actrice;Actrice de film;0;1960;Americain du nord;X men;0;
338;Harrisson;Ford;M;60-80;1;0;1;USA;H;Cinema;Acteur;Acteur de film;0;1940;Americain du nord;Indiana jons;0;
339;Harry;Styles;M;0-20;1;0;1;UK;H;Musique;Chanteur;Chanteur Rock;0;1990;Europeen;;0;
340;Hayden;Christensen;M;20-40;1;0;1;Canada;H;Cinema;Acteur;Acteur de film;0;1980;Americain du nord;Star wars;0;
341;Hayden;Panettiere;F;20-40;1;0;1;USA;H;Cinema;Actrice;Actrice dans une serie;0;1980;Americain du nord;Heroes;0;
342;Hayley;Williams;F;20-40;1;0;1;USA;H;Musique;Chanteuse;Chanteuse Rock;0;1980;Americain du nord;;0;
343;Heath;Ledger;M;20-40;0;0;1;UK;H;Cinema;Acteur;Acteur de film;0;1970;Europeen;Brokeback montain;0;
344;Heather;Graham;F;40-60;1;0;1;USA;H;Cinema;Actrice;Actrice dans une serie;0;1970;Americain du nord;Californication;0;
345;Hedy;Lamarr;M;80-120;0;0;1;USA;H;Cinema;Actrice;Actrice de film;0;1910;Americain du nord;Samson et Dalida;0;
346;Heidi;Klum;F;40-60;1;0;1;Allemagne;H;Mode;Mannequin;Egerie de Vogue;0;1970;Europeen;;0;
347;Helen;Hunt;F;40-60;1;0;1;USA;H;Cinema;Actrice;Actrice de film;0;1960;Americain du nord;Pour le pire et pour le meilleur;0;
348;Helena;Bonham-Carter;F;40-60;1;0;1;UK;H;Cinema;Actrice;Actrice de film;0;1960;Europeen;Le discour d'un roi;0;
349;Helene;Segara;F;40-60;1;0;1;France;H;Musique;Chanteuse;Chanteuse Variete;0;1970;Europeen;;0;
350;Henry;Cavill;M;20-40;1;0;1;UK;H;Cinema;Acteur;Acteur de film;0;1980;Europeen;Man of steel;0;
351;Henry;Fonda;M;60-80;0;0;1;USA;H;Cinema;Acteur;Acteur de film;0;1900;Americain du nord;12 hommes en colere;0;
352;Herbie;Hancock;M;60-80;1;0;1;USA;H;Musique;Pianiste;Pianiste Jazz;0;1940;Americain du nord;;0;
353;Hilarie;Burton;F;20-40;1;0;1;USA;H;Cinema;Actrice;Actrice dans une serie;0;1980;Americain du nord;Les freres scott;0;
354;Hilary;Duff;F;20-40;1;0;1;USA;H;Cinema;Actrice;Actrice dans une serie;0;1980;Americain du nord;Lizzie McGuire;0;
355;Hilary;Swank;F;20-40;1;0;1;USA;H;Cinema;Actrice;Actrice de film;0;1970;Americain du nord;Ps I love you;0;
356;Holly-marie;Combs;F;40-60;1;0;1;USA;H;Cinema;Actrice;Actrice dans une serie;0;1970;Americain du nord;Charmed;0;
357;Hrithik;Roshan;M;20-40;1;0;1;Inde;H;Cinema;Acteur;Acteur de film;0;1970;D'Asie;Guzaarish;0;
358;Hugh;Grant;M;40-60;1;0;1;UK;H;Cinema;Acteur;Acteur de film;0;1960;Europeen;Love actually;0;
359;Hugh;Jackman;M;40-60;1;0;1;Australie;H;Cinema;Acteur;Acteur de film;0;1960;D'Oceanie;X men;0;
360;Hugh;Laurie;M;40-60;1;0;1;UK;H;Cinema;Acteur;Acteur dans une serie;0;1950;Europeen;Dr House;0;
361;Hugo;Weaving;M;40-60;1;0;1;Australie;H;Cinema;Acteur;Acteur de film;0;1960;D'Oceanie;Le seigneur des anneaux;0;
362;Humphrey;Bogart;M;40-60;0;0;1;USA;H;Cinema;Acteur;Acteur de film;0;1890;Americain du nord;L'odyssee de l'african queen;0;
363;Ian;McKellen;M;60-80;1;0;1;UK;I;Cinema;Acteur;Acteur de film;0;1930;Europeen;X men;0;
364;Ian;Somerhalder;M;20-40;1;0;1;USA;I;Cinema;Acteur;Acteur dans une serie;0;1970;Americain du nord;Lost;0;
365;Ice;Cube;M;40-60;1;0;1;USA;I;Musique;Chanteur;Chanteur Rap;0;1960;Americain du nord;;0;
366;Iggy;Pop;M;60-80;1;0;1;USA;I;Musique;Chanteur;Chanteur Rock;0;1940;Americain du nord;;0;
367;Ingrid;Bergman;M;60-80;0;0;1;Suede;I;Cinema;Actrice;Actrice de film;0;1910;Europeen;Les enchaines;0;
368;Isabelle;Adjani;F;40-60;1;0;1;France;I;Cinema;Actrice;Actrice de film;0;1950;Europeen;La reine  margot;0;
369;Isabelle;Boulay;F;40-60;1;0;1;Canada;I;Musique;Chanteuse;Chanteuse Country;0;1970;Americain du nord;;0;
370;Jack;Nicholson;M;60-80;1;0;1;USA;J;Cinema;Acteur;Acteur de film;0;1930;Americain du nord;Vol au dessus d'un nid de coucou;0;
371;Jackie;Chan;M;40-60;1;0;1;Chine;J;Cinema;Acteur;Acteur de film;0;1950;D'Asie;Rush Hour;0;
372;Jackie;Kennedy;M;60-80;0;0;1;USA;J;Politique;Epouse;Epouse president Kennedy;0;1920;Americain du nord;;0;
373;Jackson;Rathbone;M;20-40;1;0;1;USA;J;Cinema;Acteur;Acteur de film;0;1980;Americain du nord;Twilight;0;
374;Jacques;Brel;M;40-60;0;0;1;Belgique;J;Musique;Chanteur;Chanteur Variete;0;1920;Europeen;;0;
375;Jacques;Villeret;M;40-60;0;0;1;France;J;Cinema;Acteur;Acteur de film;0;1950;Europeen;Le diner de con;0;
376;Jaime;King;F;20-40;1;0;1;USA;J;Cinema;Actrice;Actrice de film;0;1970;Americain du nord;Pearl Harbour;0;
377;Jake;Gyllenhaal;M;20-40;1;0;1;USA;J;Cinema;Acteur;Acteur de film;0;1980;Americain du nord;Le jour d'apres;0;
378;Jamel;Debbouze;M;20-40;1;0;1;France;J;Spectacle;humoriste;Humoriste ;0;1970;Europeen;;0;
379;James;Blunt;M;20-40;1;0;1;UK;J;Musique;Chanteur;Chanteur Folk;0;1970;Europeen;;0;
380;James;Brown;M;60-80;0;0;1;USA;J;Musique;Chanteur;Chanteur Soul;0;1970;Americain du nord;;0;
381;James;Dean;M;20-40;0;0;1;USA;J;Cinema;Acteur;Acteur de film;0;1930;Americain du nord;La fureur de vivre;0;
382;James;Franco;M;20-40;1;0;1;USA;J;Cinema;Acteur;Acteur de film;0;1970;Americain du nord;Spider man;0;
383;James;Hetfield;M;40-60;1;0;1;USA;J;Musique;Chanteur;Chanteur Metal;0;1960;Americain du nord;;0;
384;James;Marsters;M;40-60;1;0;1;USA;J;Cinema;Acteur;Acteur dans une serie;0;1960;Americain du nord;Buffy contre les vampires;0;
385;James;McAvoy;M;20-40;1;0;1;UK;J;Cinema;Acteur;Acteur de film;0;1970;Europeen;X men;0;
386;Jamie;Foxx;M;40-60;1;0;1;USA;J;Cinema;Acteur;Acteur de film;0;1960;Americain du nord;Django unchained;0;
387;Jane;Birkin;F;60-80;1;0;1;UK;J;Musique;Chanteuse;Chanteuse Pop;0;1940;Europeen;;0;
388;Jane;Russell;M;80-120;0;0;1;USA;J;Cinema;Actrice;Actrice de film;0;1920;Americain du nord;Les hommes preferent les blondes;0;
389;Janet;Jackson;F;40-60;1;0;1;USA;J;Musique;Chanteuse;Chanteuse Rnb;0;1960;Americain du nord;;0;
390;Janis;Joplin;M;20-40;0;0;1;USA;J;Musique;Chanteuse;Chanteuse Rock;0;1940;Americain du nord;;0;
391;Jared;Leto;M;40-60;1;0;1;USA;J;Cinema;Acteur;Acteur de film;0;1970;Americain du nord;Requiem for a dream;0;
392;Jared;Padalecki;M;20-40;1;0;1;USA;J;Cinema;Acteur;Acteur dans une serie;0;1980;Americain du nord;Supernatural;0;
393;Jason;Isaacs;M;40-60;1;0;1;UK;J;Cinema;Acteur;Acteur de film;0;1950;Europeen;Harry Potter;0;
394;Jason;Momoa;M;20-40;1;0;1;USA;J;Cinema;Acteur;Acteur dans une serie;0;1970;Americain du nord;Alerte à Malibu;0;
395;Jason;Statham;M;40-60;1;0;1;UK;J;Cinema;Acteur;Acteur de film;0;1970;Europeen;Le transporteur;0;
396;Javier;Bardem;M;40-60;1;0;1;Espagne;J;Cinema;Acteur;Acteur de film;0;1960;Europeen;Mar Adentro;0;
397;Jay-Z;Jay-Z;M;40-60;1;0;1;USA;J;Musique;Chanteur;Chanteur Rap;0;1960;Americain du nord;;0;
398;Jean;Dujardin;M;40-60;1;0;1;France;J;Cinema;Acteur;Acteur de film;0;1970;Europeen;The artist;0;
399;Jean;Ferrat;M;60-80;0;0;1;France;J;Musique;Chanteur;Chanteur Variete;0;1930;Europeen;;0;
400;Jean;Gabin;M;60-80;0;0;1;France;J;Cinema;Acteur;Acteur de film;0;1900;Europeen;Gueule d'amour;0;
401;Jean;Harlow;M;20-40;0;0;1;USA;J;Cinema;Actrice;Actrice de film;0;1910;Americain du nord;Les anges de l'enfer;0;
402;Jean;Marais;M;80-120;0;0;1;France;J;Cinema;Acteur;Acteur de film;0;1910;Europeen;Le comte de monte cristo;0;
403;Jean;Reno;M;60-80;1;0;1;France;J;Cinema;Acteur;Acteur de film;0;1940;Europeen;Leon;0;
404;Jean;Renoir;M;80-120;0;0;1;France;J;Cinema;Realisateur;Realisateur nouvelle vague;0;1890;Europeen;;0;
405;Jean-Baptiste;Maunier;M;20-40;1;0;1;France;J;Cinema;Acteur;Acteur de film;0;1990;Europeen;Les choristes;0;
406;Jean-Claude;Van damme;M;40-60;1;0;1;Belgique;J;Cinema;Acteur;Acteur de film;0;1960;Europeen;TimeCop;0;
407;Jean-Jacques;Goldman;M;60-80;1;0;1;France;J;Musique;Chanteur;Chanteur Variete;0;1950;Europeen;;0;
408;Jean-Louis;Aubert;M;40-60;1;0;1;France;J;Musique;Chanteur;Chanteur Rock;0;1950;Europeen;;0;
409;Jean-Michel;Jarre;M;60-80;1;0;1;France;J;Musique;Chanteur;Chanteur Electro;0;1940;Europeen;;0;
410;Jean-Paul;Belmondo;M;80-120;1;0;1;France;J;Cinema;Acteur;Acteur de film;0;1930;Europeen;A bout de souffle;0;
411;Jean-Paul;gauthier;M;60-80;1;0;1;France;J;Mode;Styliste;Haute couture;0;1950;Europeen;;0;
412;Jeff;Bridges;M;60-80;1;0;1;USA;J;Cinema;Acteur;Acteur de film;0;1940;Americain du nord;True Grit;0;
413;Jeff;Buckley;M;20-40;0;0;1;USA;J;Musique;Chanteur;Chanteur Rock;0;1960;Americain du nord;;0;
414;Jeff;Goldblum;M;60-80;1;0;1;USA;J;Cinema;Acteur;Acteur de film;0;1950;Americain du nord;Independance day;0;
